CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,5,37,5,31,13,9,18,9,1,31,12,12
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,7,3,5,7,2,5,2,6,12,8,5,3
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,TECNOLOGÌA EN INSTRUMENTACIÒN ELECTRÒNICA,Región Pacífico,Santiago de Cali,1,6,4,3,2,0,0,0,3,6,0,0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,TECNOLOGÍA EN SISTEMAS ELECTRÓNICOS Y DE AUTOMATIZACIÓN,Región Pacífico,Santiago de Cali,2,6,2,2,2,7,7,11,4,12,4,9
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Santiago de Cali,0,0,0,0,0,0,0,29,9,57,42,79
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Pacífico,Pasto,0,0,0,0,0,0,0,0,0,9,7,13
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Popayán,0,0,0,0,0,0,0,0,3,13,1,0
108949,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Palmira,0,0,0,0,0,0,0,0,0,0,0,0
109003,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Cartago,0,0,0,0,0,0,0,0,0,0,0,0
109528,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Buenaventura,0,0,0,0,0,0,0,0,0,0,0,0
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Santiago de Cali,0,0,0,0,0,0,0,0,0,0,0,0
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Popayán,0,0,0,0,0,0,0,0,0,0,0,0
110176,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Tuluá,0,0,0,0,0,0,0,0,0,0,0,0
110871,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Zarzal,0,0,0,0,0,0,0,0,0,0,0,0
